PMID,Model Numbers,Model Stage,Model Name,Model Type,Prediction Variables,AUC Values,C-index Values,Accuracy,F1-score,Calibration Values,Nomogram Application,Use of TRIPOD Guidelines
42061389,3,External validation,Multi-ancestry PRS-CSx for complications and comorbidities,Logistic regression using PRS as predictor adjusted for covariates,"PRS, sex, age, and genetic principal components; outcomes included diabetic retinopathy, proliferative diabetic retinopathy, diabetic nephropathy, end-stage diabetic nephropathy, coronary artery disease, ischaemic stroke",N/A,N/A,N/A,N/A,"OR per SD ranged 1.28-1.57 for diabetic retinopathy, 1.25-1.58 for diabetic nephropathy, 1.39-2.08 for proliferative diabetic retinopathy, and 1.44-1.87 for end-stage diabetic nephropathy; coronary artery disease associated with PRS only in Admixed American ancestry, OR 1.16 (95% CI 1.08-1.25).",No,N/A
42061389,4,External validation,PRS tertile model for incident type 2 diabetes,Cox proportional hazards model; Kaplan-Meier curves for diabetes-free survival,PRS tertile; random glucose concentration strata,N/A,N/A,N/A,N/A,Highest versus lowest PRS tertile HRs: African or African American 1.76 (95% CI 1.39-2.23); Admixed American 3.87 (2.63-5.68); European 5.26 (4.39-6.29). PRS T3 plus random glucose >=140 mg/dL HRs: African or African American 5.35 (3.67-7.79); Admixed American 13.82 (7.24-26.39); European 22.43 (15.61-32.21).,No,N/A
42061389,5,External validation,Type 2 diabetes Framingham Risk Score-based clinical risk score; combined PRS + clinical risk score model,Cox proportional hazards model / multivariable hazards model,"Clinical risk score components: age, sex, parental history of type 2 diabetes, BMI, systolic blood pressure, HDL cholesterol, total cholesterol, triglycerides, random glucose concentration, PRS",N/A,"Clinical risk score C-index: African or African American 0.73, Admixed American 0.77, European 0.83. Combined PRS + clinical risk model improved C-index in Admixed American ancestry from 0.77 to 0.78 and European ancestry from 0.83 to 0.85; African or African American combined C-index improvement N/A.",N/A,N/A,"After adjustment for clinical risk score, PRS remained associated with incident type 2 diabetes: HR 1.28 (95% CI 1.14-1.44) in African or African American ancestry; 1.71 (1.44-2.03) in Admixed American ancestry; 1.81 (1.70-1.94) in European ancestry.",No,N/A
42019885,1,Development/internal validation,Cox proportional hazards model for obese-metabolic-anthropometric phenotypes and incident CKD,Cox proportional hazards model,"Sex, age, ethnicity, education level, Townsend Deprivation Index, employment status, smoking status, alcohol consumption, sleep duration, physical exercise, diet patterns.",N/A,N/A,N/A,N/A,"N/A; association/risk stratification HRs reported, e.g., fully adjusted HRs versus metabolically healthy non-obese slim shape: MUOA 2.68 (95% CI 2.48-2.89), MUOW 2.26 (2.10-2.43), MUOS 2.24 (2.05-2.45), MUOP 2.07 (1.88-2.28). PAR for integrated phenotype 29.3% (95% CI 20.8-38.3%).",No,N/A
42019885,2,Development/internal validation,K-modes clustering model / clustered obese-metabolic-anthropometric phenotypes,K-modes cluster analysis,"Obesity, metabolic health, body shape",N/A,N/A,N/A,N/A,"N/A; clustered phenotype HRs versus Cluster 1 were Cluster 2 HR 1.07 (95% CI 1.02-1.12), Cluster 3 HR 1.08 (1.03-1.12), and Cluster 4 HR 1.89 (1.80-1.97).",No,N/A
40117478,1,External validation,Khorana score,N/A,N/A,0.53 (95% CI 0.50-0.56) at 180 days/6 months; sensitivity analysis high-risk cutoff >=2: 0.52 (95% CI 0.48-0.55).,0.53 (95% CI 0.50-0.56),N/A,N/A,N/A,No,N/A
40117478,2,External validation,PROTECHT score,N/A,N/A,0.58 (95% CI 0.56-0.61) at 180 days/6 months.,0.58 (95% CI 0.56-0.61),N/A,N/A,N/A,No,N/A
40117478,3,External validation,CONKO score,N/A,N/A,0.54 (95% CI 0.51-0.57) at 180 days/6 months.,0.54 (95% CI 0.51-0.57),N/A,N/A,N/A,No,N/A
40117478,4,External validation,COMPASS-CAT score,N/A,N/A,0.50 (95% CI 0.47-0.53) at 180 days/6 months.,0.50 (95% CI 0.47-0.53),N/A,N/A,N/A,No,N/A
40117478,5,External validation,CAT Score,Nomogram-based clinical prediction model; underlying modeling method N/A,N/A,0.65 (95% CI 0.62-0.67) at 180 days/6 months; complete-case AUC decreased from 0.68 to 0.65 after imputation.,0.65 (95% CI 0.62-0.67),N/A,N/A,N/A,Yes,N/A
40117478,6,External validation,EHR-CAT score,N/A,N/A,0.55 (95% CI 0.52-0.57) at 180 days/6 months.,0.55 (95% CI 0.52-0.57),N/A,N/A,N/A,No,N/A
41952123,1,Development/internal validation,Osteoporosis risk-assessment nomogram / screening nomogram,LASSO regression for variable selection followed by multivariable logistic regression,"Sex, age, diabetes mellitus, prior fracture history, body mass index, serum uric acid, serum calcium, vitamin D / 25(OH)D","Apparent/development ROC AUC 0.799 (95% CI 0.789-0.808); internal validation after 1,000 bootstrap resamples AUC 0.788 (95% CI 0.779-0.797).",N/A,Development/performance at optimal cutoff 0.556: accuracy 0.751.,N/A,"Calibration curve showed close agreement between expected probabilities and observed frequencies; Hosmer-Lemeshow test chi-square=4.630, P=0.796.",Yes,N/A
41952123,2,Development/internal validation,Basic Model 1 / Age + sex model,N/A,"Age, sex",0.597,N/A,0.579,N/A,N/A,No,N/A
41952123,3,Development/internal validation,Basic Model 2 / Age + sex + BMI model,N/A,"Age, sex, BMI",0.612,N/A,0.587,N/A,N/A,No,N/A
40670424,1,Development/internal validation,RA-PRS using LDpred2,Polygenic risk score using LDpred2 Bayesian/auto-regression approach,SNPs,Training group AUC 0.751; testing group AUC exact value N/A; all-patients AUC exact value N/A.,N/A,N/A,N/A,N/A,No,N/A
40670424,2,Development/internal validation,RA-PRS using PLINK,Polygenic risk score using PLINK clumping and thresholding,SNPs,Training group AUC 0.637; testing group AUC exact value N/A; all-patients AUC exact value N/A.,N/A,N/A,N/A,N/A,No,N/A
40670424,3,Development/internal validation,RA-PRS using PRSice-2,Polygenic risk score using PRSice-2 clumping and thresholding,SNPs,Training group AUC 0.611; testing group AUC exact value N/A; all-patients AUC exact value N/A.,N/A,N/A,N/A,N/A,No,N/A
39510220,1,Development/internal validation,Cox proportional hazard regression model,Cox proportional hazard regression model,"Age at baseline, sex, ethnicity, Townsend deprivation index, education, smoking, alcohol consumption, physical activity, body mass index, total energy intake, dietary total antioxidant capacity, IBD genetic susceptibility PRS, and antioxidant enzyme gene polymorphisms.",N/A,N/A,N/A,N/A,N/A,No,N/A
40739282,1,Development/internal validation,Algorithm for the Prediction of Risk of Infections (APRI),Random Forest regression,"Temperature, humidity, CO2, PM10, PM2.5",N/A,N/A,N/A,N/A,"N/A; internal test-set regression performance reported: MAE 0.02920878338135861, MAPE 0.050928344179091666, R2 0.9740023405842765, RMSE 0.11198848944765573.",No,N/A
40739282,2,Development/internal validation,Decision Tree Regressor,Decision Tree regression,N/A,N/A,N/A,N/A,N/A,"N/A; compared using RMSE distribution metrics, but explicit numerical values not reported in provided text.",No,N/A
40739282,3,Development/internal validation,XGBoost Regressor / XGB,XGBoost regression,N/A,N/A,N/A,N/A,N/A,"N/A; XGBoost underperformed and showed greater variability/skewed error pattern, but exact RMSE values N/A.",No,N/A
40739282,4,Development/internal validation,CatBoost Regressor,CatBoost regression,N/A,N/A,N/A,N/A,N/A,"N/A; included in algorithm comparison using RMSE distribution metrics, but exact numerical values N/A.",No,N/A
40624673,1,Development/internal validation,Nomogram model for predicting postoperative pneumonia in geriatric patients with hip fracture,Logistic regression-based prediction model with LASSO variable selection,"Age, sex, COPD, postoperative ICU, ASA classification, blood glucose, albumin / ALB",Training AUC 0.874; internal validation AUC 0.840; confidence intervals N/A.,N/A,N/A,N/A,"Training calibration plot showed close agreement; Hosmer-Lemeshow chi-square=6.04, df=8, p=0.643. Internal validation calibration plot showed close agreement; Hosmer-Lemeshow chi-square=4.79, df=8, p=0.779.",Yes,N/A
40498087,1,Development/internal validation,Clinical predictive nomogram for assessing sepsis-associated AKI risk in children with septic shock,Logistic regression model,"Height, early use of antibiotics, base excess, procalcitonin, blood urea nitrogen, prolonged prothrombin time >=3 seconds, positive random urine protein",Development/model performance AUC 0.895 (95% CI 0.836-0.955); internal bootstrap validation AUC 0.895 (95% CI 0.893-0.896) using 1000 bootstrap resamples; sensitivity 77.1%; specificity 88.9%.,N/A,N/A,N/A,"Calibration curve closely approximated the ideal diagonal; DCA showed higher net benefit than all-intervention and no-intervention strategies across thresholds 0 to 1; Hosmer-Lemeshow, Brier score, O/E ratio, slope, and intercept N/A.",Yes,N/A
41022462,1,External validation,CORE / Cirrhosis Outcome Risk Estimator,Cause-specific flexible parametric survival models for MALO and competing non-MALO death; simplified CORE derived by logit-transforming predicted risks and using normal linear regression with backward elimination,"Age, sex, aspartate aminotransferase, alanine aminotransferase, gamma-glutamyl transferase","AMORIS 10-year AUC 0.88 (95% CI 0.87-0.89), optimism corrected using bootstrap validation; time-dependent AUC ranged from 0.94 at 1 year (95% CI 0.91-0.98) to 0.88 at 10 years. External FINRISK + Health 2000 10-year AUC 0.81 (95% CI 0.77-0.87). External UK Biobank 10-year AUC 0.79 (95% CI 0.78-0.80). EASL screening subgroup AUC 0.894 (95% CI 0.855-0.929); complete case sensitivity AUC 0.882 (95% CI 0.869-0.891).",N/A,N/A,N/A,Calibration assessed by calibration curves; CORE calibration good in all three cohorts. Some overprediction in AMORIS and FINRISK at high risks >30%; UK Biobank showed very good calibration at high risks and slight overprediction at intermediate risks around 3-7%.,No,Yes
41022462,2,External validation,FIB-4 / fibrosis-4 score,N/A,N/A,AMORIS 10-year AUC 0.79 (95% CI 0.78-0.80); time-dependent AUC ranged from 0.86 at 1 year (95% CI 0.84-0.89) to 0.79 at 10 years. External UK Biobank 10-year AUC 0.73 (95% CI 0.72-0.74). FINRISK + Health 2000 AUC N/A because platelet count was unavailable.,N/A,N/A,N/A,"FIB-4 is not expressed on the probability scale, so it could not be directly compared with CORE for calibration/net benefit unless recalibrated; specific calibration metrics N/A.",No,Yes
40594406,1,Development/internal validation,STOP-BANG questionnaire score as predictor of OSA,Questionnaire-based screening score with ROC analysis,"Snoring loudly, daytime tiredness or sleepiness, observed sleep apnea, hypertension, BMI >35 kg/m2, age >50 years, neck circumference >40 cm, male sex","AUC 0.861 (95% CI 0.812-0.911), p<0.001; optimal cutoff STOP-BANG score 3; sensitivity 85.2%; specificity 76.1%.",N/A,N/A,N/A,N/A,No,N/A
40594406,2,Development/internal validation,Fasting insulin level for predicting high OSA risk,Single-marker ROC analysis,Fasting insulin level,"AUC 0.582, p<0.001; optimal cutoff fasting insulin level 9; sensitivity 0.477; specificity 0.655; 95% CI N/A.",N/A,N/A,N/A,N/A,No,N/A
40594406,3,Development/internal validation,TyG index for predicting high OSA risk,Single-marker ROC analysis,Triglyceride-glucose index / TyG index,"AUC 0.624, p<0.001; optimal cutoff TyG index >=4.668; sensitivity 0.633; specificity 0.553; 95% CI N/A.",N/A,N/A,N/A,N/A,No,N/A
40594406,4,Development/internal validation,HOMA-IR for predicting high OSA risk,Single-marker ROC analysis,HOMA-IR,"AUC 0.602, p<0.001; optimal cutoff HOMA-IR 1.970; sensitivity 0.562; specificity 0.601; 95% CI N/A.",N/A,N/A,N/A,N/A,No,N/A
40594406,5,Development/internal validation,Multivariable logistic regression Model 1 / crude model,Logistic regression,"Fasting insulin, TyG index, HOMA-IR",N/A,N/A,N/A,N/A,N/A,No,N/A
40594406,6,Development/internal validation,Multivariable logistic regression Model 2,Logistic regression,"Fasting insulin, TyG index, HOMA-IR, age, sex",N/A,N/A,N/A,N/A,N/A,No,N/A
40594406,7,Development/internal validation,Multivariable logistic regression Model 3 / fully adjusted model,Logistic regression,"Separate analyses for fasting insulin, TyG index, and HOMA-IR; adjusted covariates: age, sex, body mass index, marital status, educational level, household income level, smoking status, drinking status, aerobic physical activity, anaerobic physical activity, hypertension, diabetes, dyslipidemia.",N/A,N/A,N/A,N/A,N/A,No,N/A
40401370,1,Development/internal validation,Protein risk score for AF,Lasso-penalized Cox proportional hazards model with ten-fold cross-validation for penalization strength,"Model development used 1459 plasma protein levels, age, and sex. Final protein risk score formula included 165 unique plasma proteins and was calculated from protein levels and coefficients from derivation set as the linear part of the Cox model, excluding age and sex; full 165-protein list N/A in extracted text.",N/A,"UKB-PPP test set: adding protein risk score to CHARGE-AF + NT-proBNP yielded C-index 0.804 (95% CI 0.790-0.818), increase 0.049 (95% CI 0.042-0.062). Adding protein risk score to CHARGE-AF + NT-proBNP + polygenic risk score yielded C-index 0.816 (95% CI 0.802-0.829), comparator C-index 0.771 (95% CI 0.755-0.787), increase 0.044 (95% CI 0.039-0.055).",N/A,N/A,"Calibration assessed by observed probability versus mean predicted probability within tenths of predicted probabilities; baseline model including CHARGE-AF, NT-proBNP, and polygenic risk score was well calibrated in UKB-PPP test set; slope/intercept, Brier, Hosmer-Lemeshow, O/E N/A.",No,N/A
40401370,2,External validation,Externally replicated protein risk score for AF,Protein risk score derived from UKB-PPP lasso-penalized Cox model externally applied in ARIC,"Same UKB-PPP-derived protein risk score formula with 165 unique plasma proteins; ARIC validation model comparison included CHARGE-AF, NT-proBNP, and protein risk score; polygenic risk score not reported as part of ARIC model.",N/A,ARIC external validation: CHARGE-AF + NT-proBNP + protein risk score C-index 0.738 (95% CI 0.724-0.752); comparator CHARGE-AF + NT-proBNP C-index 0.695 (95% CI 0.680-0.710); C-index increase 0.044 (95% CI 0.026-0.063).,N/A,N/A,N/A,No,N/A
40401370,3,Development/internal validation,Protein risk score for death or stroke among individuals with a history of AF,Previously developed protein risk score applied in Cox regression analysis,"Protein risk score formula from incident AF model; baseline comparator model included CHA2DS2-VASc score, oral anticoagulant use, and NT-proBNP; complete 165-protein list N/A.",N/A,UKB-PPP history of AF: C-index change after adding protein risk score to CHA2DS2-VASc + oral anticoagulant use + NT-proBNP was 0.053 (95% CI 0.038-0.077); absolute C-index N/A.,N/A,N/A,Decision curve analysis: predicted net benefit before adding protein risk score 0.2 per 1000 people and after adding protein risk score 1.7 per 1000 people at 5-year risk threshold of 25%; other calibration measures N/A.,No,N/A
40401370,4,External validation,Externally applied protein risk score for death or stroke among individuals with a history of AF,Previously developed protein risk score applied in ARIC; Cox model implied but exact method not separately described,"Protein risk score formula from incident AF model; comparator covariates: CHA2DS2-VASc score, oral anticoagulant use, NT-proBNP",N/A,N/A,N/A,N/A,N/A,No,N/A
